Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3UBItNVbFQiVC5hBQlBvnr,"Your Woman","Women in Technology","White Town",1997-02-24,259893,76,false,kootlefoosh,2025-07-01T20:08:31Z,"","Echo",0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.642,4
spotify:track:33rXgR1HABZp0BR90wPkrL,"make u mine","selected eccojams","elricfd",2023-04-03,179538,6,false,kootlefoosh,2025-07-06T03:41:54Z,"shoegaze,dream pop,plunderphonics,vaporwave","chuck person",0.308,0.879,10,-6.662,0,0.0517,0.503,0.00166,0.359,0.414,132.386,3
spotify:track:6C2nVSSeXNqfoY8t6tliZ4,"jeans","jeans","2hollis",2023-10-27,181258,69,true,kootlefoosh,2025-07-25T00:03:23Z,"hyperpop,electroclash","2hollis",0.634,0.906,1,-4.762,1,0.0454,0.0103,0.00234,0.179,0.224,142.932,4
spotify:track:18oWEPapjNt32E6sCM6VLb,"Heads Will Roll","It's Blitz! (Deluxe Edition)","Yeah Yeah Yeahs",2009-03-06,221000,68,false,kootlefoosh,2025-07-08T20:52:31Z,"indie rock","Interscope",0.562,0.903,8,-4.46,0,0.0296,0.000187,0.0939,0.298,0.791,132.013,4
spotify:track:0WNGPpmWqzPnk0psUhJ3SX,"All the Young Dudes","All The Young Dudes (Expanded Edition)","Mott The Hoople",1972,211066,60,false,kootlefoosh,2025-07-30T04:57:06Z,"glam rock,proto-punk","Columbia/Legacy",0.429,0.668,4,-7.539,0,0.044,0.208,0,0.538,0.398,77.737,4
spotify:track:5XVjNRubJUW0iPhhSWpLCj,"Better Off Alone","Who Needs Guitars Anyway?","Alice Deejay",2000-10-01,214883,82,false,kootlefoosh,2025-08-02T03:05:50Z,"eurodance,europop","Universal Music, a division of Universal International Music BV",0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,4
spotify:track:3aUFrxO1B8EW63QchEl3wX,"Feel The Love","KIDS SEE GHOSTS","KIDS SEE GHOSTS;Pusha T",2018-06-08,165053,61,true,kootlefoosh,2025-08-11T14:12:39Z,"","Getting Out Our Dreams, Inc./Def Jam Recordings",0.58,0.469,0,-5.946,0,0.104,0.126,0.0000732,0.099,0.369,110.573,4
spotify:track:3I7Uqll4wyJmfBSDQWiLWh,"Air Supply","You Will Never Know Why","Sweet Trip",2009-09-28,281746,38,false,kootlefoosh,2025-08-20T17:56:24Z,"shoegaze,dream pop,idm","Darla",0.663,0.756,7,-8.059,0,0.0309,0.0478,0.000788,0.125,0.804,123.989,4
spotify:track:0SMkzFGJOBFDI9KfYD55L0,"There She Goes","The La's (Deluxe Edition)","The La's",1990,162160,65,false,kootlefoosh,2025-08-24T15:40:42Z,"britpop,jangle pop","UMC (Universal Music Catalogue)",0.536,0.854,7,-6.907,1,0.0298,0.0129,0.743,0.156,0.905,122.733,4
spotify:track:6QhXQOpyYvbpdbyjgAqKdY,"Cecilia","Bridge Over Troubled Water","Simon & Garfunkel",1970-01-26,174717,71,false,kootlefoosh,2025-08-25T04:49:22Z,"folk rock,folk","Columbia",0.755,0.876,0,-8.867,1,0.0362,0.357,0.00000517,0.22,0.954,102.762,4
spotify:track:7H6ev70Weq6DdpZyyTmUXk,"Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,82,false,kootlefoosh,2025-08-25T04:49:58Z,"","Columbia",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
